Time,Open,High,Low,Close,Volume
18.03.2015 00:08:00.000,1.05964,1.05967,1.05944,1.05947,59860000.6104
18.03.2015 00:09:00.000,1.05946,1.05950,1.05931,1.05941,111519996.6431
18.03.2015 00:10:00.000,1.05940,1.05953,1.05932,1.05952,73449996.9482
18.03.2015 00:11:00.000,1.05953,1.05960,1.05953,1.05960,42840000.1526
18.03.2015 00:12:00.000,1.05959,1.05972,1.05959,1.05972,44979999.5422
18.03.2015 00:13:00.000,1.05971,1.05971,1.05960,1.05960,57590000.1526
18.03.2015 00:14:00.000,1.05961,1.05962,1.05961,1.05962,4000000.0000
18.03.2015 00:15:00.000,1.05962,1.05972,1.05958,1.05958,28559999.4659
18.03.2015 00:16:00.000,1.05960,1.05967,1.05956,1.05966,38319999.6948
18.03.2015 00:17:00.000,1.05965,1.05965,1.05960,1.05960,16620000.8392
18.03.2015 00:18:00.000,1.05959,1.05959,1.05958,1.05959,7610000.1335
18.03.2015 00:19:00.000,1.05958,1.05961,1.05958,1.05960,38069999.6948
18.03.2015 00:20:00.000,1.05960,1.05992,1.05960,1.05990,93489997.8638
18.03.2015 00:21:00.000,1.05988,1.05997,1.05981,1.05989,45279998.7793
18.03.2015 00:22:00.000,1.05989,1.05991,1.05986,1.05989,38020000.4578
18.03.2015 00:23:00.000,1.05990,1.05991,1.05978,1.05978,30229999.5422
18.03.2015 00:24:00.000,1.05975,1.05976,1.05969,1.05969,16190000.5341
18.03.2015 00:25:00.000,1.05966,1.05982,1.05966,1.05982,21430000.3052
18.03.2015 00:26:00.000,1.05982,1.05982,1.05980,1.05981,5119999.8856
18.03.2015 00:27:00.000,1.05980,1.05981,1.05980,1.05981,2599999.9046
18.03.2015 00:28:00.000,1.05979,1.05980,1.05979,1.05980,5389999.8665
18.03.2015 00:29:00.000,1.05979,1.05980,1.05979,1.05980,7000000.0000
18.03.2015 00:30:00.000,1.05981,1.05982,1.05980,1.05980,19000000.0000
18.03.2015 00:31:00.000,1.05980,1.05980,1.05979,1.05980,27750000.0000
